PLAYER,W,K,ER,IP,L,SHO,SV,Points
Tyler Glasnow,4,98,20,70.0,2,0,0,37.97497767054341
Trevor Bauer,5,91,16,69.2,3,0,0,35.94484525427986
Gerrit Cole,6,92,13,64.2,2,0,0,34.935460856494444
Clayton Kershaw,7,71,21,64.1,3,0,0,31.947979124089404
Julio Urias,7,70,21,62.1,1,0,0,31.164807345377003
Kevin Gausman,5,76,11,64.2,0,0,0,30.586493998879376
Yu Darvish,5,74,12,61.2,1,0,0,29.92558307159482
Aaron Civale,7,53,23,68.0,1,0,0,28.70863933299079
Trevor Rogers,6,70,11,56.2,2,0,0,28.371972075360347
John Means,4,64,13,65.1,0,1,0,28.258820579423222
Jack Flaherty,8,58,18,57.0,1,0,0,27.36264698296826
Nick Pivetta,6,59,23,53.2,0,0,0,27.23734670631472
Carlos Rodon,5,72,7,48.2,2,1,0,26.654221646567297
Lance Lynn,5,50,8,47.2,1,1,0,21.653038827849826
Alex Reyes,2,36,2,26.0,1,0,14,13.622264962065818
Aroldis Chapman,4,37,1,19.0,0,0,11,12.762039734822094
Josh Hader,3,35,2,19.2,0,0,11,12.29572244829066
Yusmeiro Petit,6,18,10,26.2,0,0,1,11.442861669181287
Andrew Kittredge,5,20,3,23.0,0,0,2,9.967720015773239
Mark Melancon,0,19,2,22.1,0,0,17,8.711793695481711
